date,open,high,low,close
2007-09-27T00:00:00,1014.09,1014.09,1012.17,1014.09
2007-09-28T00:00:00,1046.86,1046.86,1030.77,1046.86
2007-10-01T00:00:00,1084.39,1084.39,1072.72,1084.39
2007-10-02T00:00:00,1099.48,1099.48,1099.48,1099.48
2007-10-03T00:00:00,1106.6,1106.6,1106.6,1106.6
2007-10-04T00:00:00,1107.8,1107.8,1107.8,1087.76
2007-10-05T00:00:00,1086.92,1086.92,1086.92,1081.63
2007-10-08T00:00:00,1088.11,1088.11,1084.58,1084.87
2007-10-09T00:00:00,1097.36,1097.36,1093.07,1097.36
2007-10-10T00:00:00,1110.78,1110.78,1110.78,1104.67
2007-10-11T00:00:00,1107.05,1107.05,1107.05,1099.31
2007-10-12T00:00:00,1104.61,1104.61,1097.58,1104.61
2007-10-15T00:00:00,1105.21,1105.21,1105.21,1105.21
2007-10-16T00:00:00,1106.67,1106.67,1106.67,1103.88
2007-10-17T00:00:00,1106.72,1106.72,1106.72,1101.29
2007-10-18T00:00:00,1094.93,1094.93,1094.93,1088.68
2007-10-19T00:00:00,1097.07,1097.07,1078.21,1097.07
2007-10-22T00:00:00,1091.76,1091.76,1091.76,1085.74
2007-10-23T00:00:00,1079.06,1079.06,1079.06,1075.29
2007-10-24T00:00:00,1096.2,1096.2,1079.6,1096.2
2007-10-25T00:00:00,1103.09,1103.09,1103.09,1095.53
2007-10-26T00:00:00,1095.28,1095.28,1095.28,1092.48
2007-10-29T00:00:00,1077.86,1077.86,1077.86,1064.2
2007-10-30T00:00:00,1071.15,1071.15,1068.31,1069.78
2007-10-31T00:00:00,1072.47,1072.47,1072.47,1065.09
2007-11-01T00:00:00,1078.8,1078.8,1078.8,1075.92
2007-11-02T00:00:00,1075.49,1075.49,1075.49,1066.63
2007-11-05T00:00:00,1055.35,1055.35,1045.31,1047.15
2007-11-06T00:00:00,1036.84,1036.84,1036.84,1031.71
2007-11-07T00:00:00,1036.95,1036.95,1036.95,1031.2
2007-11-08T00:00:00,1034.35,1034.35,1034.35,1026.47
2007-11-09T00:00:00,1018.29,1018.29,1018.29,1018.29
2007-11-12T00:00:00,1015.43,1015.43,1015.43,1006.12
2007-11-13T00:00:00,999.38,999.38,999.38,973.59
2007-11-14T00:00:00,1008.16,1008.16,986.91,993.75
2007-11-15T00:00:00,1007.61,1007.61,1007.61,1002.71
2007-11-16T00:00:00,1001.37,1001.37,1001.37,998.22
2007-11-19T00:00:00,999.45,999.45,999.45,998.75
2007-11-20T00:00:00,986.51,986.51,986.51,983.52
2007-11-21T00:00:00,972.26,972.26,963.56,971.49
2007-11-22T00:00:00,983.69,983.69,983.69,977.17
2007-11-23T00:00:00,981.38,981.38,974.44,975.92
2007-11-26T00:00:00,991.38,991.38,980.86,991.38
2007-11-27T00:00:00,999.4,999.4,988.08,988.08
2007-11-28T00:00:00,989.69,989.69,984.57,984.57
2007-11-29T00:00:00,987.37,987.37,980.09,980.09
2007-11-30T00:00:00,980.09,980.09,972.35,972.35
2007-12-03T00:00:00,987.96,987.96,977.86,987.96
2007-12-04T00:00:00,992.54,992.54,988.91,988.91
2007-12-05T00:00:00,981.95,981.95,981.95,976.21
2007-12-06T00:00:00,974.46,974.46,971.49,974.46
2007-12-07T00:00:00,976.89,976.89,970.15,974.63
2007-12-10T00:00:00,968.17,968.17,958.48,958.48
2007-12-11T00:00:00,949.37,949.37,941.04,941.04
2007-12-12T00:00:00,952.88,952.88,935.93,946.32
2007-12-13T00:00:00,941.76,941.76,941.76,930.36
2007-12-14T00:00:00,927.88,927.88,922.09,922.09
2007-12-17T00:00:00,920.25,920.25,920.25,911.15
2007-12-18T00:00:00,919.6,919.6,919.6,919.6
2007-12-19T00:00:00,946.78,946.78,932.59,946.78
2007-12-20T00:00:00,949.15,949.15,949.15,930.45
2007-12-21T00:00:00,935.61,935.61,929.92,935.07
2007-12-24T00:00:00,934.77,934.77,934.77,930.86
2007-12-25T00:00:00,925.32,925.32,925.32,918.43
2007-12-26T00:00:00,924.37,924.37,924.37,924.37
